# Compound                : 92-U-264
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  132      1.19200E-01      1.93345E+02      7.50447E+00
  133      1.21115E-01      1.93529E+02      7.65716E+00
  134      1.28843E-01      1.93254E+02      7.87622E+00
  135      1.17588E-01      1.92808E+02      8.54566E+00
  136      8.76533E-02      1.91989E+02      1.02284E+01
  137      7.08214E-02      1.85996E+02      1.70779E+01
  138      5.43927E-02      1.84291E+02      1.80437E+01
  139      4.87149E-02      1.80957E+02      1.82346E+01
  140      3.76953E-02      1.75414E+02      1.58884E+01
  141      2.83555E-02      1.71472E+02      1.17935E+01
  142      2.33160E-02      1.69874E+02      7.53886E+00
  143      1.89484E-02      1.68716E+02      8.37747E+00
  144      1.67983E-02      1.68892E+02      7.99973E+00
  145      1.51520E-02      1.68600E+02      7.68027E+00
  146      1.29683E-02      1.67737E+02      8.40147E+00
  147      1.12548E-02      1.66241E+02      8.54334E+00
  148      8.16395E-03      1.66647E+02      6.98118E+00
  149      8.26474E-03      1.65364E+02      7.88009E+00
  150      8.23114E-03      1.64639E+02      9.03867E+00
  151      6.68570E-03      1.62983E+02      8.54247E+00
  152      6.28255E-03      1.63433E+02      8.52170E+00
  153      6.34974E-03      1.62305E+02      7.51710E+00
  154      5.91299E-03      1.58507E+02      6.92291E+00
  155      5.81220E-03      1.61025E+02      8.86184E+00
  156      5.71141E-03      1.60347E+02      8.54119E+00
  157      6.28255E-03      1.57953E+02      7.86242E+00
  158      5.67781E-03      1.58166E+02      9.43194E+00
  159      4.87149E-03      1.59077E+02      9.63756E+00
  160      4.90509E-03      1.56135E+02      8.83233E+00
  161      6.11456E-03      1.55780E+02      8.69757E+00
  162      5.00588E-03      1.57471E+02      7.58431E+00
  163      4.90509E-03      1.54140E+02      9.73360E+00
  164      4.33395E-03      1.53446E+02      9.06718E+00
  165      3.96439E-03      1.51696E+02      6.53983E+00
  166      4.19956E-03      1.51992E+02      1.03517E+01
  167      4.19956E-03      1.53102E+02      7.97454E+00
  168      2.75491E-03      1.49018E+02      9.88063E+00
  169      3.69562E-03      1.51005E+02      8.23545E+00
  170      2.82211E-03      1.50736E+02      9.29916E+00
  171      2.92290E-03      1.51638E+02      1.04130E+01
  172      2.04939E-03      1.49730E+02      1.21625E+01
  173      2.82211E-03      1.50224E+02      7.24106E+00
  174      2.62053E-03      1.48831E+02      1.22059E+01
  175      2.62053E-03      1.48501E+02      1.36168E+01
  176      2.18377E-03      1.45987E+02      1.12691E+01
  177      1.78061E-03      1.43026E+02      7.87980E+00
  178      1.34386E-03      1.44157E+02      1.54837E+01
  179      1.10868E-03      1.46492E+02      9.59075E+00
  180      9.74299E-04      1.44454E+02      9.57533E+00
  181      5.03948E-04      1.41686E+02      8.43978E+00
  182      3.02369E-04      1.47014E+02      7.78249E+00
  183      1.34386E-04      1.43311E+02      1.00000E+01
  184      3.35965E-05      1.43229E+02      1.00000E+01
  186      3.35965E-05      1.43346E+02      1.00000E+01
  187      3.35965E-05      1.43526E+02      1.00000E+01
  188      6.71930E-05      1.43769E+02      1.00000E+01
  189      3.35965E-05      1.44051E+02      1.00000E+01
  192      3.35965E-05      1.44818E+02      1.00000E+01
  196      3.35965E-05      1.43751E+02      1.00000E+01
